combo_name,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,langfamily,area
chrysaliscombo,-10.137230682019165,0.0623571593202758,converged,-9.961143065040577,1.0000235991992967,naka1262,converged,0.1760876169785881,0.17574212995311334,Nakanai,Austronesian,Papunesia
judgecombo,-8.293827452377192,0.04735730481615822,converged,-8.24244928103436,0.28871312740036725,toke1240,converged,0.05137817134283118,0.17560904210357958,Tokelau,Austronesian,Papunesia
togethernesscombo,-10.303586516876653,0.059922115892967025,converged,-10.12838955688269,1.0000199647699408,wamp1247,converged,0.17519695999396312,0.17487978921317585,Wampar,Austronesian,Papunesia
bondagecombo,-8.589572743019973,0.03563769860906533,converged,-8.50192725775064,0.5000507666351137,kili1268,converged,0.08764548526933247,0.17482974351509722,Kiliwa,Cochimi-Yuman,North America
buildingcombo,-6.913175212211426,0.036891786159546545,converged,-6.8663926693756565,0.2652147688602242,cent2100,converged,0.04678254283576955,0.174712757017066,Kadazan Dusun,Austronesian,Papunesia
insectscombo,-7.557973085621722,0.05423634538622063,converged,-7.507604238315752,0.28347392621427736,sout2668,converged,0.05036884730597002,0.1745187095869861,Southern Hindko,Indo-European,Eurasia
togethernesscombo,-10.303586516876653,0.059922115892967025,converged,-10.129347411362055,1.0000199456560457,ngal1292,converged,0.17423910551459798,0.17392367211427318,Ngalkbun,Gunwinyguan,Australia
raincombo,-6.500192069624206,0.0330035452762201,converged,-6.474186160973875,0.14597746508972265,west2420,converged,0.026005908650331477,0.17376450562353532,Western Parbate Kham,Sino-Tibetan,Eurasia
togethernesscombo,-10.303586516876653,0.059922115892967025,converged,-10.12958673169346,1.000019940883289,east2542,converged,0.17399978518319337,0.1736847858619031,Eastern Ojibwa,Algic,North America
acorncombo,-9.845478275954255,0.07426202821494192,converged,-9.74437458088731,0.5773671921821102,khot1251,converged,0.10110369506694461,0.17368084590423025,Khotanese,Indo-European,Eurasia
herocombo,-9.28852340265396,0.05894775618697278,converged,-9.18782206055358,0.5773797934556141,bang1354,converged,0.10070134210037907,0.17350898526956654,Bobangi,Atlantic-Congo,Africa
battlecombo,-6.976138854315696,0.03691289710347502,converged,-6.948722792044595,0.15374527620942907,tokp1240,converged,0.027416062271100827,0.17339380627093573,Tok Pisin,Indo-European,Papunesia
honeycombo,-8.326604129035436,0.06234317950991122,converged,-8.264459899885548,0.3535989091340075,nort2952,converged,0.062144229149888375,0.173078282167286,Northeast Maidu,Maiduan,North America
obligationcombo,-7.768654108618726,0.04480465427217247,converged,-7.715934239221788,0.30157852435346627,kosa1249,converged,0.05271986939693818,0.17291518273604503,Kosarek Yale,Nuclear Trans New Guinea,Papunesia
lovecombo,-7.2414972933615696,0.04056819759659886,converged,-7.18975113680641,0.29717186849501803,nand1266,converged,0.05174615655515957,0.17252850629629946,Nandi,Nilotic,Africa
chrysaliscombo,-10.137230682019165,0.0623571593202758,converged,-9.964441531889413,1.0000235214876037,casi1235,converged,0.17278915012975204,0.17245014810386852,Casiguran-Nagtipunan Agta,Austronesian,Papunesia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-9.801233318502314,1.0000276912731836,sout2789,converged,0.1729251971943313,0.17216239778461412,Central Dagaare,Atlantic-Congo,Africa
grasscombo,-6.671180427674576,0.04912275979223496,converged,-6.648947539726469,0.11960025039303378,mars1254,converged,0.022232887948107738,0.17195438698431498,Marshallese,Austronesian,Papunesia
ferncombo,-8.681090070446142,0.07750391371625642,converged,-8.618892011246544,0.35358532573375784,hmon1333,converged,0.06219805919959853,0.1718273895469806,Hmong Daw,Hmong-Mien,Eurasia
swordcombo,-8.56129559828414,0.06521970276673147,converged,-8.508335899381132,0.3015417632200305,bada1257,converged,0.05295969890300789,0.1716604607636713,Badaga,Dravidian,Eurasia
crosscombo,-7.4515410314382615,0.033002016025786715,converged,-7.425046320459852,0.1508006010539868,mamp1244,converged,0.02649471097840994,0.17163173044690097,Mampruli,Atlantic-Congo,Africa
crustaceanscombo,-9.999836226712448,0.059008369995819904,converged,-9.828117245525712,1.0000269568096534,bard1255,converged,0.17171898118673568,0.17141619317113638,Bardi,Nyulnyulan,Australia
camelcombo,-9.354768674442415,0.06870242193625022,converged,-9.233470789370191,0.7071413273283563,akha1245,converged,0.12129788507222372,0.17072886094761663,Akha,Sino-Tibetan,Eurasia
crustaceanscombo,-9.999836226712448,0.059008369995819904,converged,-9.829033366625541,1.0000269321256734,yaqu1251,converged,0.1708028600869067,0.1705016916399061,Yaqui,Uto-Aztecan,North America
emuscombo,-10.000166399064998,0.0878225135921182,converged,-9.829033366619495,1.0000269320883366,yaqu1251,converged,0.17113303244550337,0.17047231271686017,Yaqui,Uto-Aztecan,North America
obligationcombo,-7.768654108618726,0.04480465427217247,converged,-7.736627278188357,0.18261403232244522,dagb1246,converged,0.032026830430369024,0.17032815415861244,Dagbani,Atlantic-Congo,Africa
obligationcombo,-7.768654108618726,0.04480465427217247,converged,-7.714632849876135,0.3162983164898102,suss1239,converged,0.05402125874259145,0.16910395485622826,Sussex,Indo-European,Eurasia
icecombo,-8.53811634866655,0.07478328875611646,converged,-8.4501845839158,0.5159132551674698,yaqu1251,converged,0.08793176475075093,0.16867619660652108,Yaqui,Uto-Aztecan,North America
tarocombo,-7.987538071156687,0.09222709475589175,converged,-7.92451043863216,0.3639990840087239,gwer1238,converged,0.06302763252452692,0.16784933919218553,Gwere,Atlantic-Congo,Africa
smellcombo,-6.649754599062027,0.027501063264626067,converged,-6.618370608509256,0.1858193047114716,tain1252,converged,0.0313839905527713,0.16707533851381756,Tai Nüa,Tai-Kadai,Eurasia
buildingcombo,-6.913175212211426,0.036891786159546545,converged,-6.869555430866926,0.2590950358885073,agus1235,converged,0.04361978134449984,0.16667327343328558,Agusan Manobo,Austronesian,Papunesia
grasscombo,-6.671180427674576,0.04912275979223496,converged,-6.632140454426137,0.22956679368478203,kati1270,converged,0.039039973248439,0.16629481556090087,Katë,Indo-European,Eurasia
terrestrialmammalscombo,-9.65492064858628,0.07468792318462837,converged,-9.571069586248182,0.5000174289546173,niue1239,converged,0.08385106233809836,0.16585622821552298,Niuean,Austronesian,Papunesia
reindeercombo,-9.518060539517112,0.06906954239453325,converged,-9.400878083545853,0.7071360023245593,angg1239,converged,0.11718245597125865,0.1649292910270997,Angguruk Yali,Nuclear Trans New Guinea,Papunesia
basketcombo,-7.051813433243312,0.06154854349911891,converged,-7.006406472607877,0.2690129561688157,doro1266,converged,0.045406960635434146,0.16453936530704713,Doromu-Koki,Manubaran,Papunesia
doctorcombo,-8.005732713763168,0.05127584858413543,converged,-7.95046326904897,0.33339207813230054,arom1237,converged,0.055269444714197924,0.16385251398095993,Aromanian,Indo-European,Eurasia
pandanuscombo,-8.769527052275503,0.09241097534665392,converged,-8.686218409048779,0.5000422226709567,mudb1240,converged,0.08330864322672404,0.16382904728459038,Mudburra,Pama-Nyungan,Australia
terrestrialmammalscombo,-9.65492064858628,0.07468792318462837,converged,-9.580689398066957,0.4472290351747004,tong1325,converged,0.07423125051932367,0.1637131519524562,Tonga,Austronesian,Papunesia
warriorcombo,-8.90860326590783,0.07394098632165902,converged,-8.852195339957351,0.33751024885990977,mush1238,converged,0.056407925950479054,0.16325765286071242,Mushungulu,Atlantic-Congo,Africa
snowcombo,-8.482778758062118,0.08187564979521811,converged,-8.408472866410104,0.4483139821536375,suss1239,converged,0.0743058916520134,0.16304836624530605,Sussex,Indo-European,Eurasia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-9.810714152388716,1.0000274299813012,anei1239,converged,0.16344436330792966,0.1627234274471681,Aneityum,Austronesian,Papunesia
kangaroocombo,-9.974158515696645,0.09394488623664612,converged,-9.810714152388716,1.0000274299813012,sema1266,converged,0.16344436330792966,0.1627234274471681,Semai,Austroasiatic,Eurasia
chrysaliscombo,-10.137230682019165,0.0623571593202758,converged,-9.976040745234124,1.0000232502373771,tere1278,converged,0.1611899367850409,0.16087373519220366,Terei,South Bougainville,Papunesia
frogcombo,-7.664601456869407,0.042570061556214164,converged,-7.622566099180638,0.25826204846173617,mara1385,converged,0.04203535768876954,0.1605953707996812,Marra,Mangarrayi-Maran,Australia
horsecombo,-7.348897937841053,0.08100031673602666,converged,-7.295713252528044,0.3215464459207518,kokb1239,converged,0.053184685313008906,0.16039200637273823,Kok Borok,Sino-Tibetan,Eurasia
breadfruitcombo,-9.372890464661088,0.1137921938868276,converged,-9.295492464606705,0.4699267131711377,efik1245,converged,0.07739800005438369,0.16007601592433138,Efik,Atlantic-Congo,Africa
cattlecombo,-6.831939413898742,0.058833333280635995,converged,-6.7987830733164705,0.19898491674600383,maga1263,converged,0.03315634058227168,0.1597893923979547,Mag-Anchi Ayta,Austronesian,Papunesia
obligationcombo,-7.768654108618726,0.04480465427217247,converged,-7.711716825889402,0.3536324987084017,kara1483,converged,0.05693728272932397,0.15973000268891016,Karamojong,Nilotic,Africa
grasscombo,-6.671180427674576,0.04912275979223496,converged,-6.6410080901948625,0.1826933417572827,rabh1238,converged,0.030172337479713818,0.15948825198029562,Rabha,Sino-Tibetan,Eurasia
obligationcombo,-7.768654108618726,0.04480465427217247,converged,-7.726918180131972,0.2582557907444674,magu1243,converged,0.041735928486754226,0.1592284308662912,Maguindanao,Austronesian,Papunesia
bondagecombo,-8.589572743019973,0.03563769860906533,converged,-8.509967146329334,0.5000503601343571,wole1240,converged,0.07960559669063905,0.15879240403082662,Woleaian,Austronesian,Papunesia
