combo_name,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,langfamily,area
snowcombo,-8.230192614836426,0.02256754941923475,converged,-8.768287352591383,0.36688352230860605,masa1300,converged,-0.5380947377549568,-1.4638968510746408,Masai,Nilotic,Africa
windcombo,-6.69629182694976,0.0168331776743926,converged,-7.516275893866349,0.5598505729496644,java1254,converged,-0.8199840669165894,-1.4639864781323046,Javanese,Austronesian,Papunesia
judgecombo,-7.833395678957216,0.016504900048793753,converged,-8.781600591702231,0.6474556575062002,nanc1247,converged,-0.9482049127450152,-1.464033809249733,Nancowry,Austroasiatic,Eurasia
cattlecombo,-6.738992716797813,0.020778868512332953,converged,-7.475968407569717,0.502893512356243,twee1234,converged,-0.7369756907719038,-1.4642213191944098,Tweed-Albert,Pama-Nyungan,Australia
glancecombo,-8.301401444352054,0.014679331236826167,converged,-9.21330254689207,0.6226141846049491,moro1292,converged,-0.9119011025400159,-1.4642258090408202,Moroccan Arabic,Afro-Asiatic,Africa
fishcombo,-6.7395618914832784,0.028320746274668903,converged,-7.682699429430962,0.6434505843581457,lada1244,converged,-0.9431375379476838,-1.464332076864333,Leh Ladakhi,Sino-Tibetan,Eurasia
sandcombo,-7.930753168112872,0.01604462177747451,converged,-8.414981304175532,0.33024641804275495,west2721,converged,-0.4842281360626597,-1.464535683269155,West Central Oromo,Afro-Asiatic,Africa
windcombo,-6.69629182694976,0.0168331776743926,converged,-7.516653087066428,0.5598505411855649,kudm1238,converged,-0.8203612601166679,-1.4646599958822273,Kudmali,Indo-European,Eurasia
dancecombo,-7.390116822409382,0.01815159627019227,converged,-7.5340446315797625,0.09657466057717984,telu1262,converged,-0.14392780917038017,-1.4646802107986316,Telugu,Dravidian,Eurasia
treecombo,-5.9132693255398046,0.025006020353151255,converged,-6.781366282924425,0.5921549568051807,devo1240,converged,-0.86809695738462,-1.4646908771568714,Devon,Indo-European,Eurasia
judgecombo,-7.833395678957216,0.016504900048793753,converged,-8.244690650121099,0.2803047668158721,cent1972,converged,-0.4112949711638825,-1.4647764525513522,Central Kurdish,Indo-European,Eurasia
doctorcombo,-7.727522357984852,0.017230079734339876,converged,-8.877777696129758,0.7850689023960802,mand1413,converged,-1.1502553381449063,-1.4648120781710212,Manda,Dravidian,Eurasia
obligationcombo,-7.163245724937165,0.018895870680860103,converged,-8.110259021048838,0.6461674254957296,thom1243,converged,-0.9470132961116731,-1.4649587672910727,Thompson,Salishan,North America
icecombo,-8.277109340183141,0.02433459258345327,converged,-9.473283202894992,0.8161381335755822,west2386,converged,-1.1961738627118503,-1.4650001576802942,Western Panjabi,Indo-European,Eurasia
cloudcombo,-7.786912667347285,0.01791501830710695,converged,-8.435869631274741,0.4425725583392004,caju1236,converged,-0.6489569639274562,-1.4651291021971533,Cajun French,Indo-European,North America
tastecombo,-7.2822658429593226,0.01259313681715071,converged,-8.183357245648747,0.6148562261310289,reel1238,converged,-0.9010914026894241,-1.4652245920701987,Reel,Nilotic,Africa
