word,estimate_set,se_set,convergence_set,estimate,se,family,convergence,delta,zeta
dance_group,-7.065078338799527,0.02816842071509926,converged,-7.026993725260809,0.5854986856236819,Nyulnyulan,converged,0.03808461353871806,0.064971307020879
dance_group,-7.065078338799527,0.02816842071509926,converged,-7.025278650004716,0.6196966646919011,mixedlanguage_medi1245,converged,0.039799688794810884,0.064158221505791
rain_group,-6.4730328985387,0.017478542464112987,converged,-6.446998458174853,0.4251086785171853,Mailuan,converged,0.026034440363846834,0.06119014775700427
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.905150712870019,0.28173823278460175,isolate_klam1254,converged,0.01649530041221947,0.058483360029427535
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.709316514641673,0.612638537143012,Miwok-Costanoan,converged,0.031392684670381144,0.05118916022097825
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.409075297550554,0.3716364454354391,Abkhaz-Adyge,converged,0.01606027989633141,0.043189455726735194
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.652815151211677,0.37211254729138227,Caddoan,converged,0.015359769161488401,0.04125777413713623
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.415286582762236,0.35498663725546997,Quechuan,converged,0.00984899468464917,0.02772669796560257
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.915256252302026,0.3171482206521995,isolate_fuyu1242,converged,0.0063897609802126,0.02012990696263749
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.919641216373225,0.16424283739738146,Hmong-Mien,converged,0.002004796909013784,0.012166574700490812
snow_group,-7.399315657384432,0.026185962528583316,converged,-7.392816719078777,0.5465495471474048,Eastern Jebel,converged,0.0064989383056550665,0.011877225017029617
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.920818964287977,0.28492917728061185,Maiduan,converged,8.270489942612258e-4,0.0028994986662784004
rain_group,-6.4730328985387,0.017478542464112987,converged,-6.474145220201891,0.30070770872317437,Mongolic-Khitan,converged,-0.0011123216631911959,-0.003692780067284416
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.924866274337373,0.30924836843675413,Eastern Jebel,converged,-0.003220261055134621,-0.010403594660410293
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.672196584338108,0.3580448326284991,Tupian,converged,-0.004021663964942412,-0.011226578188218274
smell_group,-6.425135577446885,0.012791009615760345,converged,-6.428993597871718,0.3260573517464703,Sepik,converged,-0.003858020424832631,-0.011823242737629141
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.925845624765105,0.32834929571692567,Dajuic,converged,-0.00419961148286685,-0.012779620587076622
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.92461595998196,0.22299474213500936,Kru,converged,-0.002969946699721504,-0.013294895951704811
taste_group,-6.668174920373166,0.011424352868029524,converged,-6.672018984401067,0.1869048829896784,Pidgin,converged,-0.0038440640279011618,-0.02052864037207533
ice_group,-7.740709199312054,0.027783456402679194,converged,-7.7543674938286555,0.639274013839929,Ta-Ne-Omotic,converged,-0.013658294516601721,-0.021345171557678212
snow_group,-7.399315657384432,0.026185962528583316,converged,-7.411208921506024,0.5465483660299957,Mirndi,converged,-0.011893264121591862,-0.021735746991861486
wind_group,-5.921646013282238,0.013282826759515063,converged,-5.929143048912921,0.29367044282222005,Manubaran,converged,-0.007497035630682269,-0.02550266425792172
