word,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,area,langfamily,longitude,latitude,population,subsistence
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.421798279149405,0.34890879897629085,gbar1246,converged,0.8471669985555357,2.4250820023804076,Gbari,Africa,Atlantic-Congo,7.10757,8.46411,350000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.184187782862503,0.1838869366465398,here1253,converged,0.4466616020169685,2.4239802888361037,Herero,Africa,Atlantic-Congo,20.5655,-21.0231,237000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-5.953417850335302,0.2803072710007863,haaa1252,converged,0.6774315345441702,2.41459247531632,Ha,Africa,Atlantic-Congo,30.4894,-3.77873,990000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.625388265409359,0.3321418488336221,cahu1264,converged,0.800077734162187,2.4061777261503923,Cahuilla,North America,Uto-Aztecan,243.309,33.5324,100,hunter-gatherer
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.069235197442599,0.23368205563060995,toke1240,converged,0.5616141874368727,2.400246214228234,Tokelau,Papunesia,Austronesian,188.219167,-9.227642,3250,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.9459885188064,0.22533425110932093,nyan1307,converged,0.54020949594649,2.3953055726223176,Nyankole,Africa,Atlantic-Congo,30.548,-0.46364,2330000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.524251759279711,0.3105447855110643,kxoe1243,converged,0.7447135184252298,2.3943923419807915,Kxoe,Africa,Khoe-Kwadi,22.599835,-16.59051,6590,hunter-gatherer
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.90507214204479,0.24268687586591003,hida1246,converged,0.5811258727081006,2.3927723714877454,Hidatsa,North America,Siouan,258,47.33,100,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.182027311085661,0.1872074042943551,sgaw1245,converged,0.4488220737938109,2.392676929446712,S'gaw Karen,Eurasia,Sino-Tibetan,97.7126,17.9872,1480000,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.9452575153017735,0.22603024083264284,temi1246,converged,0.5409404994511169,2.3911739403529264,Temiar,Eurasia,Austroasiatic,101.438,4.974,25725,other
