word,predictor,coefficient,p_val,warnings_m1,warnings_m2
neglect,maxmonth_wnd,0.07337501192819762,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
example,maxmonth_wnd,0.07370248286437844,0.5771955498847979,,
rubbish,maxmonth_wnd,0.07387851434825117,0.42822292618115204,,
direction,maxmonth_wnd,0.07393780303095793,0.22178872992625107,,
silver,maxmonth_wnd,0.07395300246274311,0.39139393895458063,,
glue,maxmonth_wnd,0.07497428411910717,0.3391544761539577,,
tar,maxmonth_wnd,0.07499035554486624,0.5516564524431518,,
west,maxmonth_wnd,0.07582565271113331,0.32485193634145665,,
stool,maxmonth_wnd,0.07597075611757594,0.4461792985052471,,
habit,maxmonth_wnd,0.07622937823681997,0.3681226032994592,,
sight,maxmonth_wnd,0.07650843945669865,0.2546692002294326,,
master,maxmonth_wnd,0.07661938623669237,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
pen,maxmonth_wnd,0.07665799921356795,0.41615963732047745,,
steel,maxmonth_wnd,0.07762305931056646,0.38462606528904747,,
government,maxmonth_wnd,0.07817450167231171,0.4334164506489737,,
sack,maxmonth_wnd,0.07857914760765036,0.33765171277448547,,
dive,maxmonth_wnd,0.07878562028078355,0.28092503628959575,,
command,maxmonth_wnd,0.07910181598185377,NA,Model convergence problem; singular convergence (7). See vignette('troubleshooting'),Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
player,maxmonth_wnd,0.07937573352101335,0.44086413258059765,,
trick,maxmonth_wnd,0.07966317416184186,0.2955362571672526,,
bandage,maxmonth_wnd,0.0796775743431301,0.28413874427584834,,
excrement,maxmonth_wnd,0.0808809088201596,0.37211295400365185,,
aid,maxmonth_wnd,0.080987701989070765,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
health,maxmonth_wnd,0.08098873479886572,0.20880743324562814,,
gold,maxmonth_wnd,0.08137397017140692,0.3540268344182417,,
sewing,maxmonth_wnd,0.08176362465810309,0.2854649036385295,,
statement,maxmonth_wnd,0.08237396434398579,0.5123746590465628,,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting')
construction,maxmonth_wnd,0.08285684822925156,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
crown,maxmonth_wnd,0.08294586950106413,0.22026032837073367,,
rattle,maxmonth_wnd,0.08298072481912185,0.329437148187118,,
shore,maxmonth_wnd,0.08390385593276015,0.36018145503122784,,
mount,maxmonth_wnd,0.08412175524589716,0.31082016246716726,,
contract,maxmonth_wnd,0.08443154007626885,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
eagle,maxmonth_wnd,0.08450604633752315,0.28908238350947907,,
gravel,maxmonth_wnd,0.0860819516804086,0.20522905564663316,,
labor,maxmonth_wnd,0.08623219131574127,0.2566482551049684,,
beer,maxmonth_wnd,0.08639732567536788,0.5106229252921378,,
