word,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,area,langfamily,longitude,latitude,population,subsistence
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.40230989259069,0.16235582465214443,cent1990,converged,-0.09950924775497061,-0.6042664852818047,Central Nicobarese,Eurasia,Austroasiatic,93.3921,7.94812,10100,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.708265992109995,0.3375404220567797,pulu1242,converged,-0.20829203015445774,-0.609115789027738,Puluwatese,Papunesia,Austronesian,149.2005,7.35695,1360,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-7.9820293367287976,0.25824297993080664,mbuk1240,converged,-0.16244090792097854,-0.6147528520864062,Mbukushu,Africa,Atlantic-Congo,22.5026,-17.6827,35100,other
smell_group,-6.385458270875734,0.023237955848480273,converged,-6.466908857445978,0.13029002998552347,mbay1241,converged,-0.08145058657024418,-0.6154361671767967,Mbay,Africa,Central Sudanic,15.7328,8.23066,88300,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-7.949973567479153,0.20416013720026904,yaka1277,converged,-0.1303851386713344,-0.6159190068787982,Yakan,Papunesia,Austronesian,122.021729,6.531023,106000,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.078171299804303,0.40831161296800145,yeyi1239,converged,-0.25858287099648436,-0.6274314860167339,Yeyi,Africa,Atlantic-Congo,23.6088,-18.9178,24000,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.716030711145228,0.3375398495605635,tiwi1244,converged,-0.21605674918969076,-0.63182347707114,Tiwi,Australia,isolate_tiwi1244,130.949,-11.6308,1830,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.6478661977905675,0.22674751862969308,sang1328,converged,-0.1478922358350303,-0.6339884007263354,Sango,Africa,Atlantic-Congo,20.1702,6.78584,5400,other
smell_group,-6.385458270875734,0.023237955848480273,converged,-6.495754151679388,0.1716280037351661,chek1238,converged,-0.11029588080365382,-0.6368341720721777,Cheke Holo,Papunesia,Austronesian,159.625,-8.27055,10800,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.648919984675014,0.22688892565587707,warl1254,converged,-0.14894602271947655,-0.6381297904262268,Warlpiri,Australia,Pama-Nyungan,131.05,-20.1008,2670,hunter-gatherer
ice_group,-7.819588428807819,0.05596561153807331,converged,-7.990486574045368,0.25824260837084273,hmon1333,converged,-0.17089814523754931,-0.6467599074975182,Hmong Daw,Eurasia,Hmong-Mien,103.164,21.5461,435400,other
wind_group,-5.878775686911985,0.026640083388817612,converged,-5.9677480204953115,0.13380155903606636,doro1266,converged,-0.08897233358332635,-0.6521568018791326,Doromu-Koki,Papunesia,Manubaran,147.986,-9.56687,1500,other
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.88066667329298,0.15819508996940881,plau1238,converged,-0.10464025645262609,-0.6542490850335019,Plautdietsch,North America,Indo-European,250.646132,49.578028,84900,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.030865039275707,0.3162791915089669,sout2668,converged,-0.2112766104678876,-0.6577879451063153,Southern Hindko,Eurasia,Indo-European,72.1702,33.2122,625000,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.378242068682895,0.10985741614542609,monn1252,converged,-0.07544142384717567,-0.6660861246959976,Mon,Eurasia,Austroasiatic,98.122465,15.49394,851000,other
dance_group,-6.883968111771383,0.05019304054215684,converged,-7.0548273933465095,0.2501078807250336,bard1255,converged,-0.17085928157512686,-0.6697877226782644,Bardi,Australia,Nyulnyulan,122.906,-16.6274,380,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.729084134591767,0.3375388970853483,gras1249,converged,-0.22911017263623012,-0.6699979724943362,Grass Koiari,Papunesia,Koiarian,147.437,-9.51218,1700,other
dance_group,-6.883968111771383,0.05019304054215684,converged,-7.00587143570533,0.17415654259925145,yaga1260,converged,-0.12190332393394776,-0.6725876690306125,Yagaria,Papunesia,Nuclear Trans New Guinea,145.388,-6.32432,21100,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.718789871370143,0.32065083457251015,besi1244,converged,-0.21881590941460605,-0.6726631923931632,Besisi,Eurasia,Austroasiatic,101.676,2.717,2990,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.730551200980903,0.33753879081219085,akha1245,converged,-0.23057723902536598,-0.6742883926267376,Akha,Eurasia,Sino-Tibetan,100.964,21.2309,563960,other
smell_group,-6.385458270875734,0.023237955848480273,converged,-6.509662925204596,0.18271006011221863,tiwi1244,converged,-0.12420465432886196,-0.6743586691913044,Tiwi,Australia,isolate_tiwi1244,130.949,-11.6308,1830,hunter-gatherer
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.940450220645288,0.24265296377527334,busa1253,converged,-0.16442380380493393,-0.6744380394873083,Busa,Africa,Mande,4.39929,9.91074,40000,hunter-gatherer
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.915185936474241,0.20422542664800553,angg1239,converged,-0.13915951963388729,-0.6769130551306282,Angguruk Yali,Papunesia,Nuclear Trans New Guinea,139.457,-4.0836,15000,other
dance_group,-6.883968111771383,0.05019304054215684,converged,-6.985937796036405,0.1414867341146711,mars1254,converged,-0.10196968426502195,-0.679227022065241,Marshallese,Papunesia,Austronesian,167.73,8.72,43900,other
wind_group,-5.878775686911985,0.026640083388817612,converged,-5.947620076738067,0.09679982504475501,surs1246,converged,-0.06884438982608199,-0.6857099314445279,Sursurunga,Papunesia,Austronesian,152.768,-3.99078,3000,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.4427949110894955,0.20015913184548945,tang1336,converged,-0.1399942662537761,-0.6928793952221005,East-Central Tangkhul Naga,Eurasia,Sino-Tibetan,94.3567,25.0489,125000,other
wind_group,-5.878775686911985,0.026640083388817612,converged,-5.9733184417628955,0.13262172711376755,kwai1243,converged,-0.09454275485091035,-0.6989142117091679,Kwaio,Papunesia,Austronesian,160.965,-8.93744,13200,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.10982627604355,0.40830964004931986,sout2832,converged,-0.29023784723573165,-0.7042431959035961,Southwestern Dinka,Africa,Nilotic,28.0613,8.81115,450000,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.414657758511127,0.15630156756093327,east2542,converged,-0.1118571136754074,-0.7047800230849717,Eastern Ojibwa,North America,Algic,280.2497,45.0112,25900,hunter-gatherer
dance_group,-6.883968111771383,0.05019304054215684,converged,-7.076593485440263,0.26737408863171735,heil1246,converged,-0.19262537366888033,-0.7080655136488827,Heiltsuk-Oowekyala,North America,Wakashan,232.779,51.7045,300,hunter-gatherer
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.091015041735604,0.37802235022387837,cent2100,converged,-0.2714266129277849,-0.7102755316655393,Kadazan Dusun,Papunesia,Austronesian,116.681,6.02998,141000,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.11252776350371,0.40830947455127187,pulu1242,converged,-0.29293933469589106,-0.7107984617227427,Puluwatese,Papunesia,Austronesian,149.2005,7.35695,1360,other
smell_group,-6.385458270875734,0.023237955848480273,converged,-6.532698127046565,0.20427259921204982,ayiw1239,converged,-0.14723985617083102,-0.7161815766080909,Äiwoo,Papunesia,Austronesian,166.328715,-10.282595,8400,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.746885037620445,0.33753761807086796,mali1284,converged,-0.246911075664908,-0.7220566810368961,Mali,Papunesia,Baining,152.214,-4.71826,2200,other
ice_group,-7.819588428807819,0.05596561153807331,converged,-8.145085486987142,0.44727847240714386,lonw1238,converged,-0.32549705817932306,-0.7220972791933159,Lonwolwol,Papunesia,Austronesian,168.016,-16.2286,1200,other
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.735558442084811,0.32064968070467786,cent2100,converged,-0.23558448012927347,-0.7242140801605855,Kadazan Dusun,Papunesia,Austronesian,116.681,6.02998,141000,other
dance_group,-6.883968111771383,0.05019304054215684,converged,-7.021232762743369,0.18265566191041438,uppe1439,converged,-0.1372646509719866,-0.7246324425839406,Upper Chehalis,North America,Salishan,236.831,46.7981,691,hunter-gatherer
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.909238050102819,0.17969494930090904,nort2952,converged,-0.13321163326246488,-0.7350316417934615,Northeast Maidu,North America,Maiduan,239.355,40.4102,100,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.752254956497586,0.3375372366841719,paam1238,converged,-0.25228099454204855,-0.7377610650280817,Paama,Papunesia,Austronesian,168.23693,-16.47548,6000,other
wind_group,-5.878775686911985,0.026640083388817612,converged,-6.007004932088445,0.17170952312815474,thay1249,converged,-0.12822924517645973,-0.7379514794016987,Thayore,Australia,Pama-Nyungan,142.034,-14.8159,150,hunter-gatherer
snow_group,-7.499973961955537,0.05478824718083926,converged,-7.753258613909196,0.3375371656284433,tetu1245,converged,-0.2532846519536589,-0.7406962749892058,Tetum,Papunesia,Austronesian,125.528,-9.11217,450000,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.441990927152226,0.18584320718204783,sema1266,converged,-0.13919028231650632,-0.7408661144355623,Semai,Eurasia,Austroasiatic,101.477,4.13257,43900,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.3841137994456485,0.10608922286002935,clas1252,converged,-0.08131315460992905,-0.741843127166368,Classical Syriac,Eurasia,Afro-Asiatic,42.1432,37.1129,200000,other
taste_group,-6.776026416840354,0.023557372419593634,converged,-6.91848324233869,0.18907569628532342,rend1243,converged,-0.1424568254983356,-0.7476573745459159,Rendille,Africa,Afro-Asiatic,37.3608,2.27065,34700,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.452534155806708,0.19627066499730614,ayiw1239,converged,-0.14973351097098853,-0.7554832674046421,Äiwoo,Papunesia,Austronesian,166.328715,-10.282595,8400,other
rain_group,-6.3028006448357194,0.02755628677845044,converged,-6.393138694814997,0.11634483911652485,hmon1333,converged,-0.09033804997927763,-0.7555643954813428,Hmong Daw,Eurasia,Hmong-Mien,103.164,21.5461,435400,other
