word,estimate_set,se_set,convergence_set,estimate,se,family,convergence,delta,zeta
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.695962030868717,0.10343224378361104,Pama-Nyungan,converged,0.065936548630118,0.6203035452198963
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.558123165346077,0.32784122559449985,Tuu,converged,0.20377541415275768,0.6198371857094896
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.182228847038161,0.31537985835447047,Zaparoan,converged,0.19473688963997127,0.6156750205559827
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.090421909063336,0.34461782531141655,South Bougainville,converged,0.1952166022952353,0.5644563551884493
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.511311507418432,0.6309755408119815,Manubaran,converged,0.352093272847835,0.5559702604700295
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.703635470563618,0.3207637724468516,Uralic,converged,0.17817705961067087,0.5533554203527845
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.617676829060173,0.45360016124837416,Cochimi-Yuman,converged,0.24572795120609392,0.537908225611273
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.105880791081077,0.3329184638013126,Otomanguean,converged,0.17975772027749404,0.5378865561247468
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.668699910223604,0.36716148109548824,Mande,converged,0.19470487004266257,0.5246220010426096
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.120570841164351,0.3265859627701634,Dravidian,converged,0.16506767019421975,0.5034320096258724
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.718886217016665,0.33338961079566926,isolate_yana1271,converged,0.16292631315762307,0.48696746596781976
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.218061720760471,0.32608496732007414,Manubaran,converged,0.15890401591766068,0.4859847936443762
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.560657979945814,0.6224285247513823,Otomanguean,converged,0.30274680032045254,0.48456554588978296
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.221971450876134,0.32689575572097423,South Bougainville,converged,0.15499428580199837,0.47285809492400177
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.1221440380190435,0.3503583194550294,Nyulnyulan,converged,0.1634944733395276,0.4650419767647067
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.7972939650477615,0.18870820617319348,Uto-Aztecan,converged,0.084518565126527,0.4429888338673468
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.590280039895491,0.6227432509160866,isolate_klam1254,converged,0.2731247403707755,0.43693427829997755
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.135093100470866,0.3479707204787121,isolate_tiwi1244,converged,0.15054541088770534,0.4311275445543707
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.310751014512214,0.4899887974135354,Manubaran,converged,0.2015381731909045,0.408522431896833
ice_group,-7.843537628189873,0.0585483889898855,converged,-7.6280536372015355,0.5339993436857733,Manubaran,converged,0.21548399098833748,0.4011247675186485
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.329260974856279,0.12328624338037636,Algic,converged,0.047704761821853126,0.3797641599544056
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.203153096993359,0.22031257360518733,Mayan,converged,0.0824854143652125,0.3711658707029562
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.308626501380183,0.19025624007017786,Mande,converged,0.06833923529794905,0.3563517407417684
ice_group,-7.843537628189873,0.0585483889898855,converged,-7.781126321860928,0.17213870331578274,Pama-Nyungan,converged,0.062411306328945315,0.343252861718751
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.207629008644077,0.22669452920458277,Hmong-Mien,converged,0.0780095027144938,0.34130621197246147
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.6783687674647165,0.3300002636966695,Koiarian,converged,0.08352981203411858,0.25242500297492343
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.352263803045664,0.1060355772309727,Pama-Nyungan,converged,0.024701933632467643,0.22717239861078153
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.807277390759385,0.33430741593965496,Nyulnyulan,converged,0.07453513941490364,0.2221694024689872
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.805732215231056,0.2732136623770138,Athabaskan-Eyak-Tlingit,converged,0.05767256503521079,0.20706136041216108
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.732511802912833,0.6325175864207904,Sepik,converged,0.13089297735343397,0.20618536336804355
ice_group,-7.843537628189873,0.0585483889898855,converged,-7.7293439762432286,0.5806231058225183,Chibchan,converged,0.11419365194664444,0.19568197149544714
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.708620376465906,0.3051964925921996,Sahaptian,converged,0.05327820303292885,0.17400980709850528
ice_group,-7.843537628189873,0.0585483889898855,converged,-7.750118169397231,0.552595032736391,isolate_tiwi1244,converged,0.09341945879264202,0.1681149388624171
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.833310578092078,0.3240278399532804,Mangarrayi-Maran,converged,0.04850195208221031,0.1491240818040893
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.7217970961715405,0.2925056054847073,Dravidian,converged,0.040101483327294574,0.13661757765556137
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.3452527682254605,0.2337361126793243,Wakashan,converged,0.031712968452671575,0.13496388746153412
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.830480563044543,0.2871517759797255,Nilotic,converged,0.03292421722172367,0.11267176427175195
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.484909106535472,0.27598964649887964,Uto-Aztecan,converged,0.027380081167646786,0.09713151581047902
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.349522527625925,0.34736296183681764,Chibchan,converged,0.02744320905220743,0.07881519207946842
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.272483654744542,0.19826818600728816,Uto-Aztecan,converged,0.01315485661402871,0.06564289833943887
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.368644203371207,0.14900142316079856,Nilotic,converged,0.00832153330692531,0.055133061959067406
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.267591805444318,0.34460684669050723,Sepik,converged,0.01804670591425328,0.05218254976998019
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.864191655596374,0.2344531651057312,Nuclear Trans New Guinea,converged,-7.868753301067954e-4,-0.003270116627119077
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.378179576449275,0.34544772224523396,Ijoid,converged,-0.0012138397711431992,-0.003505306765382566
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.378876163595795,0.3349311318938831,Koiarian,converged,-0.0019104269176626332,-0.005689248727988865
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.5358349247514855,0.5334314996875363,Ijoid,converged,-0.02354573704836671,-0.043887160519796235
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.900844877205748,0.6445536759200479,Koiarian,converged,-0.03744009693948147,-0.05788292059578744
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.546394055994035,0.3559718176849262,Khoe-Kwadi,converged,-0.034104868290915746,-0.09458779233045694
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.295891429986132,0.0858026753747924,Sino-Tibetan,converged,-0.010252918627561058,-0.1131410561702689
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.927657998751371,0.4535883656423324,Gunwinyguan,converged,-0.06425321848510457,-0.1406564484870067
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.421108261823997,0.30791679762665464,Dravidian,converged,-0.04414252514586536,-0.14292206612613273
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.816006970041292,0.3595534721272364,Chibchan,converged,-0.05410839054245731,-0.15013923291341463
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.931879786252844,0.32294684966873904,isolate_klam1254,converged,-0.05006725607855511,-0.15444816227318633
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.401279384796076,0.14656330780602866,Siouan,converged,-0.024313648117943565,-0.1636962128591864
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.819940121366414,0.33751448039507426,Baining,converged,-0.058041541867578594,-0.17151580893171509
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.55611570216727,0.22825133740927495,Nilotic,converged,-0.04382651446415142,-0.1862203596319972
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.930867947616657,0.2370090043997316,Tai-Kadai,converged,-0.04905541744236874,-0.2055355754173864
ice_group,-7.843537628189873,0.0585483889898855,converged,-7.925983849210306,0.38840428433755847,Wakashan,converged,-0.08244622102043309,-0.20989774514376192
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.447146677874728,0.32861481884020993,Sepik,converged,-0.0701809411965959,-0.21299465323845324
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.952541792173992,0.3259266394481929,Maiduan,converged,-0.07072926199970375,-0.21620663350824704
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.8162873816815885,0.23429953430777842,Khoe-Kwadi,converged,-0.05438880218275344,-0.23087354847831598
rain_group,-6.285638511358571,0.02915488348491822,converged,-6.368665026584759,0.35515151263441147,Baining,converged,-0.0830265152261882,-0.2329939775619282
dance_group,-6.863404780266267,0.054153684433042006,converged,-7.01426777282609,0.6352388058489257,Mangarrayi-Maran,converged,-0.15086299255982283,-0.23663190384764227
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.803711630272259,0.16882300802627184,Eskimo-Aleut,converged,-0.04181305077342401,-0.24510368460000065
dance_group,-6.863404780266267,0.054153684433042006,converged,-6.945287214194279,0.31487525518802306,Siouan,converged,-0.08188243392801198,-0.25628455734056754
taste_group,-6.761898579498835,0.024512691740818944,converged,-6.82638792323257,0.24489078958928065,Cochimi-Yuman,converged,-0.06448934373373483,-0.2620297913338076
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.939094712872048,0.21481889450848396,Hmong-Mien,converged,-0.057282182697759865,-0.2643979620173699
wind_group,-5.8818125301742885,0.028118712010424887,converged,-5.974913555724577,0.33429493378831904,Manubaran,converged,-0.09310102555028887,-0.27751965414304414
ice_group,-7.843537628189873,0.0585483889898855,converged,-7.982409179373842,0.49684051601231716,Dravidian,converged,-0.13887155118396866,-0.27758857728203673
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.664480823713807,0.533424558981743,Nyulnyulan,converged,-0.15219163601068786,-0.28367532773164483
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.473710429450818,0.317070855629642,Central Sudanic,converged,-0.0967446927726856,-0.3042436185832131
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.679577004542584,0.5334238015021879,Tuu,converged,-0.16728781683946536,-0.3118140663273494
smell_group,-6.376965736678132,0.024084949955155904,converged,-6.49082930109363,0.34735052621026746,isolate_yana1271,converged,-0.11386356441549772,-0.3270207370364393
snow_group,-7.512289187703119,0.05735694529776867,converged,-7.672947683160131,0.4819006305415137,Otomanguean,converged,-0.16065849545701205,-0.3310484884001984
