id,year,title,enumeration,imprint,autolangname,autogcode,dictlangname,gcode,duplicate,volume,newlangname,newlangnamelink,delete,subclass,review_flag,review_note,sjd,tk
inu.30000042071369,1994,"Angleško-slovenski, slovensko-angleški slovar = English-Slovene, Slovene-English dictionary / Daša Komac.",NA,"Cankarjeva zal., 1994.",Koma,koma1269,Slovenian,slov1268,inu.30000042071369,NA,NA,NA,NA,x-english (and english-x),NA,NA,1,NA
uc1.b4555834,1998,"[Angli-Mongol tolʹ / Damdinsu̇rėngin̆ Altangėrėl ; redaktor Zhim Khaffmann, Pu̇rėvbaataryn Chimgėė] = English-Mongolian dictionary / by Damdinsurengiin Altangerel.",NA,"Interpress Pub. & Print. Co., 1998.",Mongolian,mong1331,Mongolian,halh1238,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
mdp.39015063108594,2000,"Anglische-kyrgyzcha sȯzdu̇k / T. Abdiev, L. Sydykova = English-Kyrgyz dictionary / T. Abdiev, L. Sydykova.",NA,"[s.n.], 2000.",NA,NA,Kyrgyz,kirg1245,NA,NA,Kirghiz,https://en.wikipedia.org/wiki/Kyrgyz_language,NA,english-x,NA,NA,NA,1
inu.30000101511438,2002,"Angliĭsko-bŭlgarski rechnik, bŭlgarsko-angliĭski rechnik English-Bulgarian dictionary & Bulgarian-English dictionary.",NA,"Gaberoff KoralSoft, 2002.",Bulgarian,bulg1262,Bulgarian,bulg1262,inu.30000101511438,NA,NA,NA,NA,x-english (and english-x),NA,NA,NA,1
inu.30000066167531,2001,"Angliĭsko-bŭlgarski rechnik : v dva toma = English-Bulgarian dictionary / Snezhana Boi͡anova, Lena Ilieva.",v.1,"Gaberoff, 2001.",Bulgarian,bulg1262,Bulgarian,bulg1262,inu.30000066167531,inu.30000066167531,NA,NA,NA,english-x,NA,NA,1,NA
inu.30000066167523,2001,"Angliĭsko-bŭlgarski rechnik : v dva toma = English-Bulgarian dictionary / Snezhana Boi͡anova, Lena Ilieva.",v.2,"Gaberoff, 2001.",Bulgarian,bulg1262,Bulgarian,bulg1262,inu.30000066167531,inu.30000066167531,NA,NA,NA,english-x,NA,NA,1,NA
inu.32000002816124,1975,"Anglisko-makedonski rečnik =  English-Macedonian dictionary / [avtori] Dušan Crvenkovski, Branislav Gruiḱ ; [redaktor Ivanka Koviloska ; redaktor na makedonskiot tekst Krum Tošev].",NA,"Prosvetno delo, 1975.",Macedonian,mace1250,Macedonian,mace1250,inu.32000002816124,NA,NA,NA,NA,english-x,NA,NA,1,NA
pst.000023619746,1994,Anglų-lietuvių kalbų žodynas = English-Lithuanian dictionary / Bronius Svecevičius.,NA,"Leidykla ""Žodynas"", 1994.",Lithuanian,lith1251,Lithuanian,lith1251,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
uc1.b3738517,1965,"Anglo Assamese dictionary; the most up-to-date and authoritative dictionary comprising full range of words and phrases with their adequate and elaborate meanings in Assamese. [10th ed., thoroughly rev. and enl.]",NA,Dutta Baruah [1965],Assamese,assa1263,Assamese,assa1263,NA,NA,NA,NA,NA,english-x,NA,NA,NA,1
miun.afa8143.0001.001,1948,Anglo-bŭlgarski rechnik = English-Bulgarian dictionary / G. Chakalov.,NA,"[V pech. na Voenno-izdatelskii͡a fond], 1948.",Bulgarian,bulg1262,Bulgarian,bulg1262,NA,NA,NA,NA,NA,english-x,NA,NA,1,NA
hvd.hwsi8u,1908,"Anglo-Bulgarian dictionary : (with pronunciations), including a lexicon of geographical, historical, proper, etc. names, a list of the irregular verbs, weights and measures, etc. / Constantine Stephanove.",NA,"Globe Publishing Co., [1908?]",Constantine,cons1245,Bulgarian,bulg1262,NA,NA,NA,NA,NA,english-x,NA,NA,NA,1
hvd.hwsig6,1845,Anglo-Burmese dictionary / by the Rev. G. H. Hough.,3:01,"American Mission press, 1845.",Burmese,nucl1310,Burmese,nucl1310,hvd.hwsig6,NA,NA,NA,NA,english-x,NA,NA,NA,1
uc1.32106018669918,9999,"Anglo-Norman dictionary / edited by Stewart Gregory, William Rothwell & David Trotter ; with the assistance of Michael Beddow ... [et al.]",v.1,"Manley Publishing for the Modern Humanities Research Association, 2005-",Anglo-Norman,angl1258,Anglo-Norman,stan1290,NA,uc1.32106018669918,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
uc1.32106018669926,9999,"Anglo-Norman dictionary / edited by Stewart Gregory, William Rothwell & David Trotter ; with the assistance of Michael Beddow ... [et al.]",v.2,"Manley Publishing for the Modern Humanities Research Association, 2005-",Anglo-Norman,angl1258,Anglo-Norman,stan1290,NA,uc1.32106018669918,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
uc1.32106020062789,9999,Anglo-Norman dictionary / under the general editorship of Louise W. Stone and William Rothwell.,no.1,"Modern Humanities Research Association, 1977-1992.",Anglo-Norman,angl1258,Anglo-Norman,stan1290,uc1.32106020062789,uc1.32106020062789,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
uc1.32106020062771,9999,Anglo-Norman dictionary / under the general editorship of Louise W. Stone and William Rothwell.,no.2,"Modern Humanities Research Association, 1977-1992.",Anglo-Norman,angl1258,Anglo-Norman,stan1290,uc1.32106020062789,uc1.32106020062789,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
uc1.32106020062797,9999,Anglo-Norman dictionary / under the general editorship of Louise W. Stone and William Rothwell.,no.3,"Modern Humanities Research Association, 1977-1992.",Anglo-Norman,angl1258,Anglo-Norman,stan1290,uc1.32106020062789,uc1.32106020062789,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
uc1.32106020062805,9999,Anglo-Norman dictionary / under the general editorship of Louise W. Stone and William Rothwell.,no.4,"Modern Humanities Research Association, 1977-1992.",Anglo-Norman,angl1258,Anglo-Norman,stan1290,uc1.32106020062789,uc1.32106020062789,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
uc1.32106020062813,9999,Anglo-Norman dictionary / under the general editorship of Louise W. Stone and William Rothwell.,no.5,"Modern Humanities Research Association, 1977-1992.",Anglo-Norman,angl1258,Anglo-Norman,stan1290,uc1.32106020062789,uc1.32106020062789,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
uc1.32106020062821,9999,Anglo-Norman dictionary / under the general editorship of Louise W. Stone and William Rothwell.,no.6,"Modern Humanities Research Association, 1977-1992.",Anglo-Norman,angl1258,Anglo-Norman,stan1290,uc1.32106020062789,uc1.32106020062789,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
uc1.32106020062839,9999,Anglo-Norman dictionary / under the general editorship of Louise W. Stone and William Rothwell.,no.7,"Modern Humanities Research Association, 1977-1992.",Anglo-Norman,angl1258,Anglo-Norman,stan1290,uc1.32106020062789,uc1.32106020062789,French,https://glottolog.org/resource/languoid/id/angl1258,NA,english-x,NA,NA,NA,1
