id,year,title,enumeration,imprint,autolangname,autogcode,dictlangname,gcode,duplicate,newlangname,newlangnamelink,delete,review_flag
inu.30000124823950,2006,Aadaa Boraanaa : a dictionary of Borana culture / by Ton Leus with Cynthia Salvadori ; illustrated by Cynthia Salvadori.,NA,"Shama Books, 2006.",Borana,bora1272,,,,,,,
mdp.39015029444596,1992,Aḋṅa-mat̂-n̂a-English dictionary / John McEntee and Pearl McKenzie.,NA,"[J.C. McEntee], 1992.",Pear,pear1247,,,,,,,
mdp.39015073865126,2006,A Baba Malay dictionary : the first comprehensive compendium of Straits Chinese terms and expressions / William Gwee Thian Hock.,NA,"Tuttle Publishing, 2006.",Baba Malay,baba1267,,,,,,,
mdp.39015041293906,1992,"A Badaga-English dictionary / by Paul Hockings, Christiane Pilot-Raichoor; forward by Murray B. Emeneau.",NA,"Mouton de Gruyter, 1992.",Badaga,bada1257,,,,,,,
mdp.39015008988969,1979,A Balinese-English dictionary / by C. Clyde Barber.,v.1,"University of Aberdeen, 1979.",Balinese,bali1278,,,,,,,
mdp.39015008988977,1979,A Balinese-English dictionary / by C. Clyde Barber.,v.2,"University of Aberdeen, 1979.",Balinese,bali1278,,,,,,,
mdp.39015059980865,2003,A Bantawa dictionary / by Werner Winter.,NA,"Mouton de Gruyter, 2003.",Bantawa,bant1281,,,,,,,
uva.x000310112,1975,"A basic English-French contextual dictionary / compiled and edited by John H. Brueckner ; French language consultants, Gérard Karcher ... [et al.].",NA,"Prentice-Hall, [1975]",French,stan1290,,,,,,,
mdp.39015020745140,1975,A basic English-Shona dictionary / Desmond Dale.,NA,"Mambo Press, 1975",Shona (S.10):Shona,shon1250:shon1251,,,,,,,
mdp.39015059313679,1975,A basic English-Shona dictionary : illustrated / Desmond Dale.,NA,"Mambo Press ; in association with Rhodesia Literature Bureau, 1975.",Shona (S.10):Shona,shon1250:shon1251,,,,,,,
uc1.31158003003034,1887,Abcarius' abridged English and Arabic dictionary / Yuḥannā Abkāriyūs.,NA,"s.n., 1887]",Arabic,arab1395,,,,,,,
mdp.39015034918170,9999,A B C : beginnerś Agarabi-English dictionary / compiled by Jean Goddard & Lorna Luff ; ill. by Jean Goddard.,pt.1,"Summer Institute of Linguistics, 1988.",Agarabi,agar1252,,,,,,,
uiug.30112070620312,2003,ABC Chinese-English comprehensive dictionary : alphabetically based computerized / editor John DeFrancis ; associate editors Tom Bishop ... [et. al].,NA,"University of Hawai'i Press, 2003.",Chi,chii1238,,,,,,,
uva.x004068501,1996,"ABC Chinese-English dictionary : alphabetically based computerized / editor, John DeFrancis ; associate editors, Bai Yuqing ... [et al.].",NA,"University of Hawai'i Press, c1996.",Chi,chii1238,,,,,,,
mdp.39015067652407,2007,ABC etymological dictionary of old Chinese / Axel Schuessler.,NA,"University of Hawai'i Press, c2007.",Chi,chii1238,,,,,,,
uc1.b000495538,1949,"A.B.C. Japanese-English dictionary. An entirely new method of classification of the Chinese-Japanese characters, by Oreste Vaccari and Enko Elisa Vaccari.",v. 1,"O. Vaccari; sold by the publisher and Brentano's, New York [c1949]",Japanese,nucl1643,,,,,,,
uc1.b4437118,1949,"A.B.C. Japanese-English dictionary. An entirely new method of classification of the Chinese-Japanese characters, by Oreste Vaccari and Enko Elisa Vaccari.",v.2,"O. Vaccari; sold by the publisher and Brentano's, New York [c1949]",Japanese,nucl1643,,,,,,,
uc1.31822006883565,1949,"A. B. C. Japanese-English dictionary : an entirely new method of classification of the Chinese-Japanese characters / by Oreste Vaccari and Enko Elisa Vaccari = Ē-B̄-Shī-shiki Kan-Wa-Ei daijiten,A. B. C. Japanese-English dictionary : an entirely new method of cla ssification of the Chinese-Japanese characters / by Oreste Vaccari and Enko Elisa Vaccari = エービーシー式漢和英 大辭典",v.2,"Oreste Vaccari : Eibunpō Tsūron Hakkōjo ; Sold by Brentano's, c1949, Oreste Vaccari : 英文法通論發行所 ; Sold by Brentano's, c1949",Japanese,nucl1643,,,,,,,
mdp.39015067817695,2006,"ABC Oxford practical dictionary : English into English and Urdu / compiled by M. Raza-ul-Haq Badakhshani, M. Saqlain Bhatti.",NA,"ABC Pub. House, 2006.",Badakhshan,bada1264,,,,,,,
