glottocode,longitude,latitude,avgmonth_tmp,minmonth_tmp,maxmonth_tmp,avgmonth_pre,minmonth_pre,maxmonth_pre
mode1248,23.13,38.36,15.187500268883175,6.810000069936117,24.486667188008628,45.64833387155086,8.716666927933693,96.82000045776367
hebr1245,35.0179,31.1056,16.545833643277486,14.31000010172526,19.50666707356771,19.63500026387887,0,59.45333366394043
moki1238,159.776,6.65651,27.63888929155138,27.426667086283366,27.84000040690104,292.7513943778144,188.00667088826498,357.010004679362
monn1252,98.122465,15.49394,24.62222261428833,22.73333346048991,27.17666727701823,294.2852826065487,6.346666721502939,867.9800211588541
moro1292,-7.5,32.5,17.79000025590261,11.506666819254557,25.10666707356771,29.420000410100652,0.9100000229974587,60.76666716734569
luxe1241,6.14931,49.6839,8.962222373402781,0.4933333615461984,17.39000040690104,72.97194565269682,56.75000136693318,91.39333454767863
mota1237,167.690924,-13.835361,26.040833722220526,25.02666695912679,26.940000279744467,268.4150045818753,205.9966687520345,367.99667104085285
mudb1240,132.329,-16.7694,26.287222544352215,19.396667162577312,30.89666684468587,56.02444541162501,1.7566667102277276,164.6533364613851
muna1247,122.541,-5.40419,25.534722561306424,24.600000381469727,26.293333943684896,164.47139185031668,54.91333412329356,262.34667205810547
mund1320,85.85,23.03,25.26194484233856,17.813333606719972,31.886666997273764,111.44527995735407,4.883333379030228,331.51333872477215
mung1266,10.0294,5.89752,19.46666702164544,18.093333625793456,21.32333386739095,182.79666934590784,10.063333463668823,392.0100036621094
muru1266,146.546,-28.9618,20.73277810414632,11.800000222524007,28.54000040690104,34.552222817763685,18.156666996081672,58.39000070095062
mush1238,42.6626,0.00689,27.688889243867663,25.983333524068197,29.433333524068196,32.91638967837724,0.6666666721304257,84.61333538691203
mwag1236,8.96522,9.47205,23.469722562366062,21.836666997273763,26.213333511352538,103.57611315107593,0.9433333518604438,255.20667165120443
misk1235,275.7058,15.1576,26.59194482697381,25.126667086283366,27.810000292460124,250.38583781056934,62.47333445549011,398.606672668457
sout2856,168.377,-17.7006,24.413889270358617,22.416667175292968,26.5233336130778,196.662225303385,109.83666823705038,366.3400054931641
naka1262,150.888,-5.59931,24.979167032241822,24.380000432332356,25.340000343322753,488.3361192067464,324.22000579833986,712.1866780598958
nanc1247,93.3921,7.94812,26.453333716922337,25.890000597635904,27.510000292460123,199.39055931303236,84.20666783650717,277.09667104085287
nand1266,35.408478,0.793737,17.186667047606573,16.000000476837158,18.536666933695475,103.85389059003856,35.82666717569033,168.58000361124675
naro1249,20.7458,-22.0939,20.85444478193919,13.383333492279053,25.996667035420735,30.404444795764157,0,78.72333402633667
yong1270,100.9,27.8,8.79166679152598,1.1766666809717814,14.996666844685873,74.2652789271747,3.8033333867788315,207.8933359781901
