glottocode,longitude,latitude,avgmonth_wnd,minmonth_wnd,maxmonth_wnd
ewee1241,0.814975,6.46061,1.6833333333333333,1.3,1.9000000000000001
fiji1243,178.33,-18,3.791666666666667,3.5,3.9
fili1244,123.464,12.265,2.8333333333333335,2.3000000000000003,3.3000000000000003
finn1318,25.5577,64.7628,3.6166666666666667,3.3000000000000003,3.9
fore1270,145.5065,-6.64473,3.775,3.2,4.3
stan1290,2,48,4.116666666666667,3.5,4.8
futu1245,170.215,-19.5303,3.425,3.1,3.6
fuyu1242,147.312,-8.6371,4.333333333333334,3.5,5.1000000000000005
gaaa1244,-0.18598,5.65488,2.3000000000000003,1.8,2.7
gaam1241,33.9797,11.4674,2.0166666666666666,1.7,2.3000000000000003
gade1242,7.49869,8.71139,2.475,2.1,2.8000000000000003
gali1258,-7.5343,42.2446,4.083333333333334,3.5,4.7
gamb1252,-16.1544,13.5337,1.8250000000000002,1.2,2.3000000000000003
gand1255,32.15153,0.66884,2.566666666666667,2.4,2.7
gari1256,273.09090000000003,15.3529,6.108333333333333,5.2,6.9
garo1247,90.462,25.2954,1.375,0.9,2
gbar1246,7.10757,8.46411,2.275,1.9000000000000001,2.6
geda1237,145.781,-5.18175,3.0083333333333333,2.6,3.4
geez1241,40.6821,10.1342,1.725,1.4000000000000001,2.4
gela1263,160.186,-9.04587,1.05,0.8,1.3
nucl1302,43.78613,41.850397,2.3000000000000003,1.9000000000000001,2.8000000000000003
stan1295,12.4676,48.649,2.375,2,2.7
giky1238,0.56975,8.39478,1.375,1,1.8
gilb1244,173.64,0.179,1.8666666666666667,1.6,2.1
meso1252,43.1095,33.8178,2.9916666666666667,2.2,4
giry1241,39.6648,-3.30638,4.425,3.7,5
glav1244,13.8652,11.1334,2.666666666666667,2,3.2
goan1235,74.2098,15.2732,2.7083333333333335,2,4
goem1240,9.72453,8.74455,2.566666666666667,2.2,2.9
gras1249,147.437,-9.51218,4.333333333333334,3.3000000000000003,5.2
guar1292,298.3066,-15.8247,3.5166666666666666,2.7,4.3
guja1252,71.0962,22.687,3.1333333333333333,1.9000000000000001,5
gulf1241,47.5,30.17,3.6750000000000003,2.8000000000000003,5
gung1250,31.4819,2.06754,1.9416666666666669,1.8,2.1
gwer1238,33.8227,1.11392,2.466666666666667,2.3000000000000003,2.6
haaa1252,30.4894,-3.77873,2.5500000000000003,2.1,3.2
hais1244,231.398,53.964,3.7,3,4.6000000000000005
hait1244,287.863885,18.795135,3.033333333333333,2.6,3.5
hakk1236,116,25,2.1416666666666666,1.9000000000000001,2.3000000000000003
halh1238,106.28874,48.32397,2.625,1.8,3.9
haus1257,8.7804,11.1513,3.5,2.9,3.9
hava1248,246.615,35.6302,4.291666666666667,3.6,5
hawa1245,204.57,19.6297,4.891666666666667,4.5,5.2
hdii1240,13.6881,10.942,2.7666666666666666,2.1,3.3000000000000003
heil1246,232.779,51.7045,4.066666666666666,3,5
here1253,20.5655,-21.0231,1.4916666666666667,1.2,1.9000000000000001
hida1246,258,47.33,4.841666666666667,4.4,5.5
hili1240,122.974,10.4018,3.0083333333333333,2.2,4.2
hind1269,77,25,2.075,1.1,3.4
hind1270,78.91266666666667,20.558666666666667,2.1333333333333333,1.4000000000000001,3.2
hmon1333,103.164,21.5461,1.7083333333333335,1.4000000000000001,2
hmon1264,101.95,22.5638,1.6333333333333333,1.3,2
hooo1248,87.1188,23.9596,1.5416666666666667,1.1,1.9000000000000001
hoch1243,271.5,43.5,4.833333333333333,4,5.4
hung1274,19.6555271429,46.9068585714,2.816666666666667,2.4,3.3000000000000003
wyan1247,282.5,44.33,4.183333333333334,3.4,5
iban1264,112.934,2.09041,1.2,1.1,1.3
ibib1240,7.86688,5.15279,1.8416666666666668,1.5,2.1
icel1247,-19.0212,63.4837,6.433333333333334,4.9,7.7
nucl1417,7.23441,4.62705,2.1583333333333337,1.8,2.3000000000000003
ilok1237,120.993,15.9361,2.216666666666667,1.8,2.6
ipai1240,243.007,33.005,3.725,3.1,4.2
iqui1243,286.02954,-3.31233,1.6583333333333334,1.5,1.9000000000000001
iraq1241,35.2939,-4.19948,2.9916666666666667,2.6,3.8000000000000003
iris1253,-7.61509,53.2186,4.058333333333334,3.4,4.7
isim1234,35.42881,-3.423772,2.8833333333333333,2.4,3.7
isth1244,265.1556,16.4548,3.7833333333333337,2.8000000000000003,4.9
ital1282,12.6489,43.0464,2.775,2.2,3.3000000000000003
ixil1251,269.1065,15.4569,2.9,2.6,3.2
iyoj1235,296.7617,-22.1896,1.9666666666666668,1.6,2.5
izon1238,5.51702,5.17986,2.283333333333333,1.8,2.7
nucl1643,135,35,2.8666666666666667,2.6,3.2
java1254,109.287,-7.001,2.316666666666667,1.9000000000000001,2.8000000000000003
jeha1242,101.541,5.63695,1.9000000000000001,1.6,2.5
jewi1240,44.245,32.273,3.591666666666667,2.8000000000000003,4.7
jica1244,252.993,36.8079,4.325,3.7,5.3
djin1251,133.659,-17.165,2.691666666666667,2.1,3.1
jude1267,45,15,3.9833333333333334,3.3000000000000003,5.1000000000000005
kich1262,268.8304,14.5278,2.4250000000000003,2.1,2.7
cent2100,116.681,6.02998,2.0083333333333333,1.7,2.4
kala1397,144.585,-5.25216,3.325,3,3.6
kara1499,132.678,-3.47037,2.091666666666667,1.4000000000000001,3.2
kali1308,245.81,47.5825,3.275,2.8000000000000003,4
