id,year,title,imprint,author,langname,glottolog_langname,subclass,glottocode,area,langfamily,affiliation,longitude,latitude,population,subsistence,doreco,oclc,lcc,access,url,rights,copyright
aeu.ark:/13960/t5db8td91,1999,Dictionary of the Chinook jargon,"T.N. Hibben, [18--]",NA,Pidgin Chinook Jargon,Pidgin Chinook Jargon,x-english (and english-x),pidg1254,North America,Pidgin,"Pidgin, Chinook-based pidgin",235,55,100000,other,NA,70584712,NA,deny,NA,ic,NA
umn.31951001433670z,1970,"Dictionary of the Chinook jargon : or, Trade language of Oregon / New York, Cramoisy Press, 1863.","[AMS Press], [1970]",NA,Pidgin Chinook Jargon,Pidgin Chinook Jargon,x-english (and english-x),pidg1254,North America,Pidgin,"Pidgin, Chinook-based pidgin",235,55,100000,other,NA,574814,NA,deny,NA,ic,NA
hvd.hn6b3m,1887,"Dictionary of the chinook jargon : with examles of use in conversation [comp. from all vocabularies, and greatly improved by the addition of necessary words never before published].","J.K. Gill & Co. , 1887.",NA,Pidgin Chinook Jargon,Pidgin Chinook Jargon,x-english (and english-x),pidg1254,North America,Pidgin,"Pidgin, Chinook-based pidgin",235,55,100000,other,NA,13187435,NA,allow,NA,pd,NA
mdp.39015005140747,1924,"Dictionary of the intertribal Indian language, commonly called Chinook, by Laura B. Downey Bartlett.","Smith-Digby co., 1924.",NA,Pidgin Chinook Jargon,Pidgin Chinook Jargon,x-english (and english-x),pidg1254,North America,Pidgin,"Pidgin, Chinook-based pidgin",235,55,100000,other,NA,13016128,24024831,allow,NA,pd,NA
wau.39352074350844,1909,Gill's dictionary of the Chinook jargon : with examples of use in conversation and notes upon tribes and tongues.,"J.K. Gill Company, 1933.",NA,Pidgin Chinook Jargon,Pidgin Chinook Jargon,x-english (and english-x),pidg1254,North America,Pidgin,"Pidgin, Chinook-based pidgin",235,55,100000,other,NA,995852460,NA,allow,NA,pd,NA
mdp.39015029551515,1992,Pintupi/Luritja dictionary / KC & LE Hansen.,"Institute for Aboriginal Development, 1992.",NA,Pintupi-Luritja,Pintupi-Luritja,x-english (and english-x),pint1250,Australia,Pama-Nyungan,"Pama-Nyungan, Desert Nyungic, Wati, Pintupic, Nuclear Pintupic",130.643,-23.2963,390,hunter-gatherer,NA,26710494,NA,deny,NA,ic,NA
aeu.ark:/13960/t9087337n,1865,A dictionary of the Cree language as spoken by the Indians of the Hudson's Bay Company's territories / compiled by E.A. Watkins.,"Society for Promoting Christian Knowledge, 1865.",NA,Plains Cree,Plains Cree,x-english (and english-x),plai1258,North America,Algic,"Algic, Algonquian-Blackfoot, Algonquian, Cree-Montagnais-Naskapi, Cree, Plains Creeic",249.537,51.2437,34100,hunter-gatherer,NA,720296198,NA,allow,NA,pd,NA
mdp.39015053176338,2001,"Nehiyawewin : itwewina = Cree : words : a Cree-English Dictionary / Arok Wolvengrey, compilor.","Canadian Plains Research Center, University of Regina, 2001.",NA,Plains Cree,Plains Cree,x-english (and english-x),plai1258,North America,Algic,"Algic, Algonquian-Blackfoot, Algonquian, Cree-Montagnais-Naskapi, Cree, Plains Creeic",249.537,51.2437,34100,hunter-gatherer,NA,47691175,NA,deny,NA,ic,NA
mdp.39015008523071,1968,A new Malagasy-English dictionary; edited and rearranged by J. Richardson.,"Gregg, 1967 [i.e. 1968]",NA,Plateau Malagasy,Plateau Malagasy,x-english (and english-x),plat1254,Africa,Austronesian,"Austronesian, Malayo-Polynesian, Basap-Greater Barito, Greater Barito linkage, Southeast Barito, Malagasic, North-Central Malagasic, Central-Eastern Malagasic",47.1211,-19.5907,7520000,other,NA,33000,77422248,deny,NA,ic,NA
mdp.39015058219802,2003,Mennonite Low German dictionary = Mennonitisch-Plattdeutsches Wörterbuch / by Jack Thiessen.,"Max Kade Institute for German-American Studies, c2003.",NA,Plautdietsch,Plautdietsch,x-english (and english-x),plau1238,North America,Indo-European,"Indo-European, Classical Indo-European, Germanic, Northwest Germanic, West Germanic, North Sea Germanic, Altsächsisch, Middle-Modern Low German, Low German, Greater East Low German",250.646132,49.578028,84900,other,NA,53124058,NA,deny,NA,ic,NA
