word	language_name	same_meaning	provenance
active	Interlingua	True	Wiktionary
active	Latin	False	Wiktionary
active	Middle English	False	Wiktionary
active	Portuguese	False	Wiktionary
active	Romanian	False	Wiktionary
active	Spanish	False	Wiktionary
activism	Romanian	True	Wiktionary
activist	Dutch	True	Wiktionary
activist	Romanian	True	Wiktionary
actor	Asturian	True	Wiktionary
actor	Catalan	True	Wiktionary
actor	Dutch	True	Wiktionary
actor	Galician	True	Wiktionary
actor	Latin	True	Wiktionary
actor	Middle English	False	Wiktionary
actor	Occitan	True	Wiktionary
actor	Portuguese	True	CogNet
actor	Romanian	True	Wiktionary
actor	Scots	True	Wiktionary
actor	Spanish	True	Wiktionary
actor	Welsh	True	Wiktionary
actors	Catalan	False	Wiktionary
actors	Occitan	False	Wiktionary
actors	Scots	False	Wiktionary
actress	Scots	True	Wiktionary
acts	English	True	Wiktionary
actual	Catalan	True	CogNet
actual	Galician	True	Wiktionary
actual	Interlingua	False	Wiktionary
actual	Middle English	True	Wiktionary
actual	Occitan	False	Wiktionary
actual	Portuguese	False	Wiktionary
actual	Romanian	True	CogNet
actual	Scots	True	Wiktionary
actual	Spanish	True	Wiktionary
acumen	Latin	False	Wiktionary
acumen	Spanish	True	Wiktionary
acupuncture	French	True	Wiktionary
acute	Asturian	False	Wiktionary
acute	Dutch	False	Wiktionary
acute	English	True	Wiktionary
acute	French	True	CogNet
acute	Interlingua	True	Wiktionary
acute	Italian	False	Wiktionary
acute	Latin	False	Wiktionary
adage	French	True	Wiktionary
adamant	Cornish	False	Wiktionary
adamant	Irish	False	Wiktionary
adamant	Latin	False	Wiktionary
adamant	Middle English	True	Wiktionary
adamant	Old French	True	Wiktionary
adamant	Polish	False	Wiktionary
adamant	Romanian	True	CogNet
adapt	Scots	True	Wiktionary
adaptable	Catalan	True	Wiktionary
adaptable	French	True	Wiktionary
adaptable	Galician	True	Wiktionary
adaptable	Scots	True	Wiktionary
adaptable	Spanish	True	Wiktionary
adaptation	English	True	Wiktionary
adaptation	French	True	Wiktionary
adaptations	French	False	Wiktionary
adapter	English	True	Wiktionary
adapter	Estonian	True	Wiktionary
adapter	French	False	Wiktionary
adapter	Latin	False	Wiktionary
adapter	Middle French	False	Wiktionary
adapter	Polish	True	CogNet
adapter	Swedish	True	Wiktionary
adaptive	French	False	Wiktionary
adaptive	German	False	Wiktionary
add	Chinese	True	Wiktionary
add	English	True	Wiktionary
add	Hungarian	False	Wiktionary
add	Portuguese	True	Wiktionary
add	Scots	True	Wiktionary
addict	French	True	Wiktionary
addict	Scots	True	Wiktionary
addiction	French	True	Wiktionary
addiction	Norman	True	Wiktionary
additions	French	False	Wiktionary
additions	Swedish	False	Wiktionary
additive	English	True	Wiktionary
additive	French	False	Wiktionary
additive	German	False	Wiktionary
additive	Italian	False	Wiktionary
additives	Catalan	False	Wiktionary
additives	French	False	Wiktionary
additives	German	False	Wiktionary
address	Scots	True	Wiktionary
adept	Norwegian Bokmål	True	Wiktionary
adept	Norwegian Nynorsk	True	Wiktionary
adept	Polish	True	Wiktionary
adept	Romanian	False	Wiktionary
adept	Swedish	False	Wiktionary
adequate	English	True	Wiktionary
adequate	Italian	False	Wiktionary
adhere	English	True	Wiktionary
