distance,langname_a,langname_b,title_a,imprint_a,year_a,title_b,imprint_b,year_b,id_a,id_b,glottocode_a,glottocode_b
34.31231510788305,Spanish,Spanish,Pocket dictionary of the English and Spanish languages by Wessely and Gironés.,Routledge [189-?],1899,A dictionary of the Spanish language in two parts: I. Spanish-English; 2. English-Spanish.,"Crosby Lockwood and Son, 1888.",1888,njp.32101051167896,hvd.hn2cet,stan1288,stan1288
34.31231510788305,Spanish,Spanish,A dictionary of the Spanish language in two parts: I. Spanish-English; 2. English-Spanish.,"Crosby Lockwood and Son, 1888.",1888,Pocket dictionary of the English and Spanish languages by Wessely and Gironés.,Routledge [189-?],1899,hvd.hn2cet,njp.32101051167896,stan1288,stan1288
34.32244277668835,German,German,A practical dictionary of the German & English languages / by William Lewery Blackley and Carl Martin Friedländer.,"Longmans, Green, 1899.",1899,"A new English-German and German-English dictionary; containing all the words in general use ... Comp. from the dictionaries of Lloyd, Nöhden, Flügel and Sporschil.","G.W. Mentz and Son, 1843.",1843,uc1.31210001382041,nyp.33433069251639,stan1295,stan1295
34.32244277668835,German,German,"A new English-German and German-English dictionary; containing all the words in general use ... Comp. from the dictionaries of Lloyd, Nöhden, Flügel and Sporschil.","G.W. Mentz and Son, 1843.",1843,A practical dictionary of the German & English languages / by William Lewery Blackley and Carl Martin Friedländer.,"Longmans, Green, 1899.",1899,nyp.33433069251639,uc1.31210001382041,stan1295,stan1295
34.33573905680492,Chinese,Chinese,"Han Ying da ci dian = Chinese-English dictionary / Wu Guanghua zhu bian.,汉英大辞典 = Chinese-English dictionary / 吴光华主编．","Shanghai jiao tong da xue chu ban she, 1993, 上海交通大学出版社, 1993",1993,"Xin shi ji Han Ying da ci dian = A new century Chinese-English dictionary / Hui Yu zhu bian.,新世纪汉英大词典 = A new century Chinese-English dictionary / 惠宇主编.","Wai yu jiao xue yu yan jiu chu ban she, 2004., 外语敎学与研究出版社, 2004.",2004,uva.x002668962,mdp.39015070854727,mand1415,mand1415
34.33573905680492,Chinese,Chinese,"Xin shi ji Han Ying da ci dian = A new century Chinese-English dictionary / Hui Yu zhu bian.,新世纪汉英大词典 = A new century Chinese-English dictionary / 惠宇主编.","Wai yu jiao xue yu yan jiu chu ban she, 2004., 外语敎学与研究出版社, 2004.",2004,"Han Ying da ci dian = Chinese-English dictionary / Wu Guanghua zhu bian.,汉英大辞典 = Chinese-English dictionary / 吴光华主编．","Shanghai jiao tong da xue chu ban she, 1993, 上海交通大学出版社, 1993",1993,mdp.39015070854727,uva.x002668962,mand1415,mand1415
34.33915602075378,Lakota,Lakota,Lakota dictionary : Lakota-English/English-Lakota / compiled and edited by Eugene Buechel and Paul Manhart.,"University of Nebraska Press, c2002.",2002,"A dictionary of the Teton Dakota Sioux language; Lakota-English, English-Lakota, with considerations given to Yankton and Santee. Oie wowapi wan̳ Lakota-Ieska, Ieska-Lakota. Edited by Paul Manhart in cooperation with the Institute of Indian Studies, University of South Dakota, Vermillion.","Red Cloud Indian School, Holy Rosary Mission [1970]",1970,mdp.39015056222238,mdp.39015029552000,lako1247,lako1247
34.33915602075378,Lakota,Lakota,"A dictionary of the Teton Dakota Sioux language; Lakota-English, English-Lakota, with considerations given to Yankton and Santee. Oie wowapi wan̳ Lakota-Ieska, Ieska-Lakota. Edited by Paul Manhart in cooperation with the Institute of Indian Studies, University of South Dakota, Vermillion.","Red Cloud Indian School, Holy Rosary Mission [1970]",1970,Lakota dictionary : Lakota-English/English-Lakota / compiled and edited by Eugene Buechel and Paul Manhart.,"University of Nebraska Press, c2002.",2002,mdp.39015029552000,mdp.39015056222238,lako1247,lako1247
34.3482752700263,Telugu,Telugu,A Telugu-English dictionary / by Charles Philip Brown.,"Society for Promoting Christian Knowledge, 1903.",1903,"Dictionary, Telugu English = Nighaṇṭu, Telugu Iṅglīṣ / Charles Philip Brown.","Asian Educational Service, 1992.",1992,wu.89089028575,ien.35556025264201,telu1262,telu1262
34.3482752700263,Telugu,Telugu,"Dictionary, Telugu English = Nighaṇṭu, Telugu Iṅglīṣ / Charles Philip Brown.","Asian Educational Service, 1992.",1992,A Telugu-English dictionary / by Charles Philip Brown.,"Society for Promoting Christian Knowledge, 1903.",1903,ien.35556025264201,wu.89089028575,telu1262,telu1262
34.349194536156766,French,French,Harrap's French and English college dictionary.,"McGraw-Hill, 2006.",2006,"The concise Oxford-Hachette French dictionary : French-English, English-French / edited by Marie-Hélène Corréard, Valerie Grundy.","Oxford University Press, 1998.",1998,mdp.39015066787105,mdp.39015046438795,stan1290,stan1290
34.349194536156766,French,French,"The concise Oxford-Hachette French dictionary : French-English, English-French / edited by Marie-Hélène Corréard, Valerie Grundy.","Oxford University Press, 1998.",1998,Harrap's French and English college dictionary.,"McGraw-Hill, 2006.",2006,mdp.39015046438795,mdp.39015066787105,stan1290,stan1290
34.369261480128515,Sindhi,Sindhi,"The Sindhi-English dictionary, by Anandram T. Shahaney.",School & College Bookstall [196?],1969,A Sindhi-English dictionary / compiled by Dulamal Bulchand.,"s.n.], 1910",1910,uc1.b3305282,uc1.31175005444776,sind1272,sind1272
34.369261480128515,Sindhi,Sindhi,A Sindhi-English dictionary / compiled by Dulamal Bulchand.,"s.n.], 1910",1910,"The Sindhi-English dictionary, by Anandram T. Shahaney.",School & College Bookstall [196?],1969,uc1.31175005444776,uc1.b3305282,sind1272,sind1272
34.37105769180798,Gujarati,Oriya,A manual of English Gujarati dictionary = Aṅgrejī-Gujarātī ḍikśanarī / N.R. Ranina.,"Asian Educational Services, 1985.",1985,"Students' popular dictionary; English-English-Oriya containing about 30,000 word-meanings. Compiled by Damodar Misra. Rev. by an experienced professor.",Cuttack Students' Store. [1964],1964,mdp.39015028728957,mdp.39015022928488,guja1252,oriy1255
34.37105769180798,Oriya,Gujarati,"Students' popular dictionary; English-English-Oriya containing about 30,000 word-meanings. Compiled by Damodar Misra. Rev. by an experienced professor.",Cuttack Students' Store. [1964],1964,A manual of English Gujarati dictionary = Aṅgrejī-Gujarātī ḍikśanarī / N.R. Ranina.,"Asian Educational Services, 1985.",1985,mdp.39015022928488,mdp.39015028728957,oriy1255,guja1252
34.39594166605594,German,German,Thieme-Preusser : a new and complete critical dictionary of the English and German languages.,"B. Westermann, 1886-",1899,"Desk dictionary, English-German and German-English, by J.S.S. Rothwell ... The pronunciation phonetically indicated ...",P. Neff (C. Büchle) 1904.,1904,nyp.33433081964763,hvd.hn6kc7,stan1295,stan1295
34.39594166605594,German,German,"Desk dictionary, English-German and German-English, by J.S.S. Rothwell ... The pronunciation phonetically indicated ...",P. Neff (C. Büchle) 1904.,1904,Thieme-Preusser : a new and complete critical dictionary of the English and German languages.,"B. Westermann, 1886-",1899,hvd.hn6kc7,nyp.33433081964763,stan1295,stan1295
34.40060962266432,Italian,Italian,"Collins pocket Italian dictionary : Italian-English, English-Italian / Catherine E. Love.","Collins, 1982.",1982,"Pocket Oxford Italian dictionary : Italian-English, English-Italian / editors, Pat Bulhosen, Francesca Logi, Loredana Riu.","Oxford University Press, 2006.",2006,pst.000011181040,mdp.39015064736641,ital1282,ital1282
34.40060962266432,Italian,Italian,"Pocket Oxford Italian dictionary : Italian-English, English-Italian / editors, Pat Bulhosen, Francesca Logi, Loredana Riu.","Oxford University Press, 2006.",2006,"Collins pocket Italian dictionary : Italian-English, English-Italian / Catherine E. Love.","Collins, 1982.",1982,mdp.39015064736641,pst.000011181040,ital1282,ital1282
34.40635577249128,Chinese,Chinese,A complete Chinese-English dictionary / by O. Z. Tsang.,"Republican Press, 1929.",1937,"Shi jie Han Ying da ci dian = Complete Chinese-English dictionary / bian zhe Zhan Pengfei.,世界漢英大辭典 = Complete Chinese-English dictionary / 編者詹鵬飛.","Shi jie shu ju, 1955., 世界書局, 1955.",1955,uc1.l0085268639,mdp.39015021731362,mand1415,mand1415
34.40635577249128,Chinese,Chinese,"Shi jie Han Ying da ci dian = Complete Chinese-English dictionary / bian zhe Zhan Pengfei.,世界漢英大辭典 = Complete Chinese-English dictionary / 編者詹鵬飛.","Shi jie shu ju, 1955., 世界書局, 1955.",1955,A complete Chinese-English dictionary / by O. Z. Tsang.,"Republican Press, 1929.",1937,mdp.39015021731362,uc1.l0085268639,mand1415,mand1415
34.407466395598284,Hungarian,Hungarian,Magyar angol kisszótár = Hungarian-English dictionary / vezető szerkesztő Kiséry István.,"Akadémiai Kiadó, c2006.",2006,A modern Hungarian-English dictionary.,"W. Heffer, 1957.",1957,mdp.39015066792709,mdp.39015008678016,hung1274,hung1274
